288,36,313,78,1
287.19,49.991,315.06,96.795,0.83101
297.5,23.5,325,70,0.81127
305.81,29.203,334.12,77.054,0.8408
305.42,38.693,334.2,87.375,0.79702
303.43,42.29,330.97,88.801,0.76053
313.34,66.437,342.24,115.29,0.78722
322.86,76.26,353.16,127.46,0.76153
326.63,70.517,358.19,123.87,0.72992
324.15,41.395,355.91,95.169,0.79211
320.7,34.721,352.63,88.845,0.86543
317.33,51.667,349.33,106,0.68376
318.06,57.578,350.66,112.91,0.66755
317.94,65.809,350.53,121.13,0.73378
324.72,57.239,357.73,113.26,0.69802
325.59,52.844,358.56,108.82,0.76123
321.28,92.312,354.48,148.65,0.79129
308.21,120.39,340.99,176.02,0.82319
287.1,119.48,320.13,175.54,0.77837
280.69,121.16,313.67,177.15,0.7926
280.38,101.93,313.44,158.04,0.77215
279.07,88.53,311.64,143.82,0.77492
275.6,90.908,308.69,147.07,0.70652
281.27,101.6,313.36,156.09,0.70112
283.2,95.911,315.48,150.71,0.64362
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
276,11.5,316,78.5,0.68729
280.86,5.4793,320.6,72.15,0.7231
282.26,-9.1158,322.38,58.196,0.51786
290.78,-24.534,331.6,43.93,0.58637
292.26,-28.863,332.98,39.44,0.54894
298.62,-29.337,339.84,39.795,0.51938
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
299.67,4,338.33,69,0.68647
297,35.5,341,108.5,0.6609
303.2,52.017,344.82,121.19,0.58298
308.33,65.719,347.03,130.18,0.67334
308.7,61.911,347.12,125.91,0.692
304.23,58.277,342.59,122.19,0.68973
299.28,54.922,338.36,120.09,0.67321
295.85,48.711,335.31,114.5,0.68695
290.64,39.068,331.23,106.75,0.6943
286.05,28.723,327.54,98.005,0.69343
285.23,29.656,325.71,97.508,0.68071
285.88,39.624,325.52,106.16,0.7005
283.03,44.464,323.34,112.09,0.7126
281.96,53.811,321.19,119.79,0.70477
281.16,68.076,319.64,132.84,0.81568
266.37,74.095,305.18,139.34,0.77235
245.15,62.852,284.22,128.51,0.68419
239.48,90.292,278.71,156.13,0.6844
262.08,74.076,301.9,140.93,0.75999
262.6,32.752,301.76,98.59,0.69716
264.12,33.906,303.84,100.56,0.72384
270,59.5,310,126.5,0.68555
287.05,86.642,325.33,151.01,0.75727
293.28,95.866,331.8,160.57,0.75538
296.84,102.55,335.9,168.11,0.75315
297.81,104.7,336.31,169.43,0.77007
304.73,112.12,343.34,177.03,0.77092
303.7,122.72,342.05,187.2,0.79223
304.93,124.06,342.97,188.07,0.80246
285.36,99.595,324.29,164.98,0.79646
272.23,54.264,311.5,120.2,0.77607
272.06,53.812,311.62,120.2,0.77137
276.93,71.396,316.55,137.82,0.79168
281.95,75.401,321.06,141.06,0.77622
287.58,74.135,326.65,139.76,0.76423
290.03,68.128,329.15,133.81,0.85304
293.52,58.7,333.17,125.24,0.85915
297.16,61.766,336.34,127.57,0.87648
301.51,66.828,340.45,132.31,0.83355
303.17,64.443,342.26,130.2,0.81559
305.01,60.967,344.73,127.76,0.79135
303.32,59.481,344.67,128.98,0.64594
299.64,62.308,341.34,132.4,0.65271
295,46,339,119,0.67809
292.15,39.612,336.62,113.39,0.6657
290.54,44.688,335.59,119.42,0.66573
289.73,31.382,335.51,107.33,0.72005
289.84,18.597,336.73,96.396,0.75486
297.52,0.061826,345.17,79.106,0.67377
302.07,-2.7981,349.99,76.704,0.64501
301.12,-5.512,348.83,73.639,0.65457
301.36,-3.6241,348.11,73.932,0.65354
300,11,344.85,85.615,0.66706
297.19,37.399,339.66,108.18,0.71988
286.07,70.257,328,140.14,0.60724
280.36,75.984,322.57,146.33,0.78446
NaN,NaN,NaN,NaN,NaN
